అ	a
నోటికొచ్చింది	n oo tx i k o c c i q d i
నోటిజన్లు	n oo tx i j a n l u
నోటినుంచి	n oo tx i n u q c i
నోటిఫికేషన్	n oo tx i ph i k ee sx a n
నోటిఫికేషన్లు	n oo tx i ph i k ee sx a n l u
నోటిలో	n oo tx i l oo
నోటివెంట	n oo tx i w e q tx a
నోటిసు	n oo tx i s u
నోటీసును	n oo tx ii s u n u
నోటీసులు	n oo tx ii s u l u
నోటు	n oo tx u
నోటుకు	n oo tx u k u
నోటును	n oo tx u n u
నోటుపై	n oo tx u p ai
నోటులో	n oo tx u l oo
నోటేంటా	n oo tx ee q tx aa
నోట్	n oo tx
నోట్పో	n oo tx p oo
నోట్ల	n oo tx l a
నోట్లకే	n oo tx l a k ee
నోట్లని	n oo tx l a n i
నోట్లను	n oo tx l a n u
నోట్లు	n oo tx l u
నోట్లైతే	n oo tx l ai t ee
నోబాల్	n oo b aa l
నోబెల్	n oo b e l
నోరు	n oo r u
నోరెత్తి	n oo r e t t i
నోరెళ్ల	n oo r e lx l a
నోళ్లలో	n oo lx l a l oo
నోళ్లలోనే	n oo lx l a l oo n ee
నోళ్లు	n oo lx l u
నోళ్ళకి	n oo lx lx a k i
నోవా	n oo w aa
నౌక	n au k a
నౌకదళానికి	n au k a d a lx aa n i k i
నౌకల	n au k a l a
నౌకలను	n au k a l a n u
నౌకాదళాధికారులు	n au k aa d a lx aa dh i k aa r u l u
నౌకాశ్రయ	n au k aa sh r a y a
నౌగత్	n ou g a t
నౌపడ	n au p a dx a
నౌషిన్	n au sx i n
నం	n a q
నంజిరెడ్డి	n a q j i r e dx dx i
నంజుకుని	n a q j u k u n i
నంటున్నారు	n a q tx u n n aa r u
నండి	n a q dx i
నందమూరి	n a q d a m uu r i
నందరవనం	n a q d a r a w a n a q
నందరాజు	n a q d a r aa j u
నందరాజుగారు	n a q d a r aa j u g aa r u
నందవరం	n a q d a w a r a q
నంది	n a q d i
నందికొట్కూరు	n a q d i k o tx k uu r u
నందికోల	n a q d i k oo l a
నందిగా	n a q d i g aa
నందిగామ	n a q d i g aa m a
నందిగామలో	n a q d i g aa m a l oo
నందిగామలోని	n a q d i g aa m a l oo n i
నందిగ్రామ్	n a q d i g r aa m
నందిని	n a q d i n i
నందినిని	n a q d i n i n i
నందివాడ	n a q d i w aa dx a
నందుకు	n a q d u k u
నందో	n a q d oo
నంద్యాల	n a q d y aa l a
నంద్యాలకు	n a q d y aa l a k u
నంద్యాలలో	n a q d y aa l a l oo
నంద్యాలలోని	n a q d y aa l a l oo n i
నంబరు	n a q b a r u
నంబరుకు	n a q b a r u k u
నంబర్	n a q b a r
నంబర్ల	n a q b a r l a
నంబర్లకు	n a q b a r l a k u
న్	n a
న్నట్టు	n n a tx tx u
న్నట్లు	n n a tx l u
న్నర	n n a r a
న్నాయని	n n aa y a n i
న్నాయి	n n aa y i
న్నారని	n n aa r a n i
న్నారు	n n aa r u
న్మాద	n m aa d a
న్యత	n y a t a
న్యాయ	n y aa y a
న్యాయకులు	n y aa y a k u l u
న్యాయకుల్లో	n y aa y a k u l l oo
న్యాయనిపుణులు	n y aa y a n i p u nx u l u
న్యాయపరమైన	n y aa y a p a r a m ai n a
న్యాయపరంగా	n y aa y a p a r a q g aa
న్యాయపోరాటం	n y aa y a p oo r aa tx a q
న్యాయమని	n y aa y a m a n i
న్యాయమూర్తి	n y aa y a m uu r t i
న్యాయమూర్తిని	n y aa y a m uu r t i n i
న్యాయమూర్తులు	n y aa y a m uu r t u l u
న్యాయమూర్తులుగా	n y aa y a m uu r t u l u g aa
న్యాయమైన	n y aa y a m ai n a
న్యాయయుద్ధం	n y aa y a y u d dh a q
న్యాయవాద	n y aa y a w aa d a
న్యాయవాది	n y aa y a w aa d i
న్యాయవాదుల	n y aa y a w aa d u l a
న్యాయవాదులతోనూ	n y aa y a w aa d u l a t oo n uu
న్యాయవాదులు	n y aa y a w aa d u l u
న్యాయవాదుల్లో	n y aa y a w aa d u l l oo
న్యాయవివాదాలకు	n y aa y a w i w aa d aa l a k u
న్యాయవ్యవస్థను	n y aa y a w y a w a s th a n u
న్యాయశాఖ	n y aa y a sh aa kh a
న్యాయశాస్త్ర	n y aa y a sh aa s t r a
న్యాయస్థానాన్ని	n y aa y a s th aa n aa n n i
న్యాయస్థానాలను	n y aa y a s th aa n aa l a n u
న్యాయస్థానం	n y aa y a s th aa n a q
న్యాయస్థానంలో	n y aa y a s th aa n a q l oo
న్యాయాధికారులు	n y aa y aa dh i k aa r u l u
న్యాయానికి	n y aa y aa n i k i
న్యాయానిదే	n y aa y aa n i d ee
న్యాయం	n y aa y a q
న్యాయంగా	n y aa y a q g aa
న్యూఎగ్	n y uu e g
న్యూక్లియర్	n y uu k l i y a r
న్యూజిలాండ్	n y uu j i l aa q dx
న్యూజిల్యాండ్	n y uu j i l y aa q dx
న్యూట్రాలిటీని	n y uu tx r aa l i tx ii n i
న్యూఢిల్లీలో	n y uu dxh i l l ii l oo
న్యూయార్క్	n y uu y aa r k
న్యూరాన్	n y uu r aa n
న్యూస్	n y uu s
న్య్వేధ్యం	n y a w ee dh y a q
ప	p a
పకడ్బందీ	p a k a dx b a q d ii
పకడ్బందీగా	p a k a dx b a q d ii g aa
పకడ్భందీగా	p a k a dx bh a q d ii g aa
పక్క	p a k k a
పక్కకు	p a k k a k u
పక్కకుపోయి	p a k k a k u p oo y i
పక్కగా	p a k k a g aa
పక్కదారి	p a k k a d aa r i
పక్కదారిలో	p a k k a d aa r i l oo
పక్కదోవ	p a k k a d oo w a
పక్కన	p a k k a n a
పక్కనబెట్టి	p a k k a n a b e tx tx i
పక్కనబెట్టిఇరు	p a k k a n a b e tx tx i i r u
పక్కనబెట్టేసి	p a k k a n a b e tx tx ee s i
పక్కనా	p a k k a n aa
పక్కనున్న	p a k k a n u n n a
పక్కనే	p a k k a n ee
పక్కనోల్ల	p a k k a n oo l l a
పక్కల	p a k k a l a
పక్కలా	p a k k a l aa
పక్కలో	p a k k a l oo
పక్కవడిలా	p a k k a w a dx i l aa
పక్కవాడిల	p a k k a w aa dx i l a
పక్కవాళ్ళ	p a k k a w aa lx lx a
పక్కవాళ్ళు	p a k k a w aa lx lx u
పక్కసీట్లో	p a k k a s ii tx l oo
పక్కా	p a k k aa
పక్కాగా	p a k k aa g aa
పక్కింటి	p a k k i q tx i
పక్కింటికి	p a k k i q tx i k i
పక్కో	p a k k oo
పక్కోలకి	p a k k oo l a k i
పక్కోల్లే	p a k k oo l l ee
పక్రియను	p a k r i y a n u
పక్రియాలను	p a k r i y aa l a n u
పక్ష	p a k sx a
పక్షనేత	p a k sx a n ee t a
పక్షపాత	p a k sx a p aa t a
పక్షపాతం	p a k sx a p aa t a q
పక్షవాతమొచ్చిందా	p a k sx a w aa t a m o c c i q d aa
పక్షాన	p a k sx aa n a
పక్షాన్ని	p a k sx aa n n i
పక్షాల	p a k sx aa l a
పక్షాలతో	p a k sx aa l a t oo
పక్షాలు	p a k sx aa l u
పక్షాలూ	p a k sx aa l uu
పక్షి	p a k sx i
పక్షుల	p a k sx u l a
పక్షులకె	p a k sx u l a k e
పక్షులను	p a k sx u l a n u
పక్షులనే	p a k sx u l a n ee
పక్షులన్నింటికీ	p a k sx u l a n n i q tx i k ii
పక్షులు	p a k sx u l u
పక్షులో	p a k sx u l oo
పక్షుల్ని	p a k sx u l n i
పక్షం	p a k sx a q
పక్షంలో	p a k sx a q l oo
పక్షంలోని	p a k sx a q l oo n i
పగ	p a g a
పగటి	p a g a tx i
పగటిపూట	p a g a tx i p uu tx a
పగలకొట్టి	p a g a l a k o tx tx i
పగలు	p a g a l u
పగలంతా	p a g a l a q t aa
పగిలినట్లుగా	p a g i l i n a tx l u g aa
పగిలిపోనాయి	p a g i l i p oo n aa y i
పగిలిపోయాయి	p a g i l i p oo y aa y i
పగిలిపోయి	p a g i l i p oo y i
పగిలిపోయింది	p a g i l i p oo y i q d i
పగిలిందా	p a g i l i q d aa
పగిలింది	p a g i l i q d i
పగులగొట్టారు	p a g u l a g o tx tx aa r u
పగులగొట్టి	p a g u l a g o tx tx i
పగో	p a g oo
పగ్గాలు	p a g g aa l u
పచౌరీ	p a c au r ii
పచ్చ	p a c c a
పచ్చకామెర్ల	p a c c a k aa m e r l a
పచ్చకామెర్లతో	p a c c a k aa m e r l a t oo
పచ్చకామెర్లు	p a c c a k aa m e r l u
పచ్చగడ్డి	p a c c a g a dx dx i
పచ్చటి	p a c c a tx i
పచ్చడి	p a c c a dx i
పచ్చతోరణం	p a c c a t oo r a nx a q
పచ్చదనానికి	p a c c a d a n aa n i k i
పచ్చదనం	p a c c a d a n a q
పచ్చదనంగా	p a c c a d a n a q g aa
పచ్చధనంగా	p a c c a dh a n a q g aa
పచ్చని	p a c c a n i
పచ్చరాయిని	p a c c a r aa y i n i
పచ్చల్లు	p a c c a l l u
పచ్చాకు	p a c c aa k u
పచ్చి	p a c c i
పచ్చిపాలు	p a c c i p aa l u
పచ్చిమ	p a c c i m a
పచ్చిమిరప	p a c c i m i r a p a
పచ్చిమిరపకాయ	p a c c i m i r a p a k aa y a
పచ్చిమిరపకాయలు	p a c c i m i r a p a k aa y a l u
పచ్చిమిర్చి	p a c c i m i r c i
పజ్జనిమిది	p a j j a n i m i d i
పటకాల	p a tx a k aa l a
పటపట	p a tx a p a tx a
పటా	p a tx aa
పటానికి	p a tx aa n i k i
పటాపంచలయ్యా	p a tx aa p a q c a l a y y aa
పటాపంచలయ్యాయి	p a tx aa p a q c a l a y y aa y i
పటాపంచలు	p a tx aa p a q c a l u
పటాస్	p a tx aa s
పటిమ	p a tx i m a
పటిష్ట	p a tx i sx tx a
పటిష్టత	p a tx i sx tx a t a
పటిష్టపరిచేందుకు	p a tx i sx tx a p a r i c ee q d u k u
పటిష్టమైన	p a tx i sx tx a m ai n a
పటిష్టం	p a tx i sx tx a q
పటిష్ఠ	p a tx i sx txh a
పటిష్ఠానికి	p a tx i sx txh aa n i k i
పటించుకోవడం	p a tx i q c u k oo w a dx a q
పటు	p a tx u
పటేచుకోక	p a tx ee c u k oo k a
పటేల్	p a tx ee l
పటోళ్ల	p a tx oo lx l a
పటోళ్ళ	p a tx oo lx lx a
పట్	p a tx
పట్ట	p a tx tx a
పట్టకుండా	p a tx tx a k u q dx aa
పట్టడానికే	p a tx tx a dx aa n i k ee
పట్టడం	p a tx tx a dx a q
పట్టడంతో	p a tx tx a dx a q t oo
పట్టడంలేదని	p a tx tx a dx a q l ee d a n i
పట్టణ	p a tx tx a nx a
పట్టణములో	p a tx tx a nx a m u l oo
పట్టణానికి	p a tx tx a nx aa n i k i
పట్టణానికే	p a tx tx a nx aa n i k ee
పట్టణాభివృద్దిఅసలకు	p a tx tx a nx aa bh i w rq d d i a s a l a k u
పట్టణాభివృద్ధి	p a tx tx a nx aa bh i w rq d dh i
పట్టణాల	p a tx tx a nx aa l a
పట్టణాలకు	p a tx tx a nx aa l a k u
పట్టణాలలో	p a tx tx a nx aa l a l oo
పట్టణాలు	p a tx tx a nx aa l u
పట్టణాల్లో	p a tx tx a nx aa l l oo
పట్టణాల్లోనూ	p a tx tx a nx aa l l oo n uu
పట్టణీకరణ	p a tx tx a nx ii k a r a nx a
పట్టణీకరణతో	p a tx tx a nx ii k a r a nx a t oo
పట్టణం	p a tx tx a nx a q
పట్టణంగా	p a tx tx a nx a q g aa
పట్టణంతో	p a tx tx a nx a q t oo
పట్టణంలో	p a tx tx a nx a q l oo
పట్టణంలోని	p a tx tx a nx a q l oo n i
పట్టదండి	p a tx tx a d a q dx i
పట్టనట్టుగా	p a tx tx a n a tx tx u g aa
పట్టని	p a tx tx a n i
పట్టపగలు	p a tx tx a p a g a l u
పట్టపగలే	p a tx tx a p a g a l ee
పట్టపగ్గాలు	p a tx tx a p a g g aa l u
పట్టభద్రులు	p a tx tx a bh a d r u l u
పట్టవచ్చు	p a tx tx a w a c c u
పట్టవని	p a tx tx a w a n i
పట్టసీమను	p a tx tx a s ii m a n u
పట్టా	p a tx tx aa
పట్టాపంచల	p a tx tx aa p a q c a l a
పట్టాబిషేకం	p a tx tx aa b i sx ee k a q
పట్టాభిషేకం	p a tx tx aa bh i sx ee k a q
పట్టాయని	p a tx tx aa y a n i
పట్టాయి	p a tx tx aa y i
పట్టారని	p a tx tx aa r a n i
పట్టారు	p a tx tx aa r u
పట్టాల	p a tx tx aa l a
పట్టాలని	p a tx tx aa l a n i
పట్టాలను	p a tx tx aa l a n u
పట్టాలపై	p a tx tx aa l a p ai
పట్టాలపైనే	p a tx tx aa l a p ai n ee
పట్టాలమీద	p a tx tx aa l a m ii d a
పట్టాలి	p a tx tx aa l i
పట్టాలిచ్చి	p a tx tx aa l i c c i
పట్టాలు	p a tx tx aa l u
పట్టి	p a tx tx i
పట్టికలో	p a tx tx i k a l oo
పట్టిచ్చి	p a tx tx i c c i
పట్టిచ్చుకునే	p a tx tx i c c u k u n ee
పట్టిచ్చుకోకుండా	p a tx tx i c c u k oo k u q dx aa
పట్టిచ్చుకోము	p a tx tx i c c u k oo m u
పట్టిచ్చుకోవట్లేదు	p a tx tx i c c u k oo w a tx l ee d u
పట్టిన	p a tx tx i n a
పట్టినట్లు	p a tx tx i n a tx l u
పట్టిపీడిస్తున్నా	p a tx tx i p ii dx i s t u n n aa
పట్టివేతఖమ్మం	p a tx tx i w ee t a kh a m m a q
పట్టిసీమ	p a tx tx i s ii m a
పట్టిసీమకు	p a tx tx i s ii m a k u
పట్టిసీమతో	p a tx tx i s ii m a t oo
పట్టిసీమను	p a tx tx i s ii m a n u
పట్టిసీమపై	p a tx tx i s ii m a p ai
పట్టిసీమలపై	p a tx tx i s ii m a l a p ai
పట్టిసీలనకు	p a tx tx i s ii l a n a k u
పట్టిస్తాయి	p a tx tx i s t aa y i
పట్టిస్తు	p a tx tx i s t u
పట్టిస్తున్నాయని	p a tx tx i s t u n n aa y a n i
పట్టిస్తున్నారని	p a tx tx i s t u n n aa r a n i
పట్టిస్తున్నారన్నారు	p a tx tx i s t u n n aa r a n n aa r u
పట్టిస్తున్నారు	p a tx tx i s t u n n aa r u
పట్టిస్తే	p a tx tx i s t ee
పట్టించడానికి	p a tx tx i q c a dx aa n i k i
పట్టించడం	p a tx tx i q c a dx a q
పట్టించాడు	p a tx tx i q c aa dx u
పట్టించారని	p a tx tx i q c aa r a n i
పట్టించారన్న	p a tx tx i q c aa r a n n a
పట్టించారు	p a tx tx i q c aa r u
పట్టించాలని	p a tx tx i q c aa l a n i
పట్టించి	p a tx tx i q c i
పట్టించినారు	p a tx tx i q c i n aa r u
పట్టించు	p a tx tx i q c u
పట్టించుకునే	p a tx tx i q c u k u n ee
పట్టించుకున్నట్లు	p a tx tx i q c u k u n n a tx l u
పట్టించుకున్నా	p a tx tx i q c u k u n n aa
పట్టించుకుంటారండి	p a tx tx i q c u k u q tx aa r a q dx i
పట్టించుకుంటే	p a tx tx i q c u k u q tx ee
పట్టించుకొనేలా	p a tx tx i q c u k o n ee l aa
పట్టించుకోకపోతే	p a tx tx i q c u k oo k a p oo t ee
పట్టించుకోకపోవటం	p a tx tx i q c u k oo k a p oo w a tx a q
పట్టించుకోకపోవడంతో	p a tx tx i q c u k oo k a p oo w a dx a q t oo
పట్టించుకోకపోవడంపై	p a tx tx i q c u k oo k a p oo w a dx a q p ai
పట్టించుకోకుండా	p a tx tx i q c u k oo k u q dx aa
పట్టించుకోకూడదు	p a tx tx i q c u k oo k uu dx a d u
పట్టించుకోకండ	p a tx tx i q c u k oo k a q dx a
పట్టించుకోడు	p a tx tx i q c u k oo dx u
పట్టించుకోనట్లు	p a tx tx i q c u k oo n a tx l u
పట్టించుకోనవసరం	p a tx tx i q c u k oo n a w a s a r a q
పట్టించుకోని	p a tx tx i q c u k oo n i
పట్టించుకోను	p a tx tx i q c u k oo n u
పట్టించుకోరని	p a tx tx i q c u k oo r a n i
పట్టించుకోరా	p a tx tx i q c u k oo r aa
పట్టించుకోరు	p a tx tx i q c u k oo r u
పట్టించుకోరండి	p a tx tx i q c u k oo r a q dx i
పట్టించుకోలేదని	p a tx tx i q c u k oo l ee d a n i
పట్టించుకోలేదన్నారు	p a tx tx i q c u k oo l ee d a n n aa r u
పట్టించుకోలేదు	p a tx tx i q c u k oo l ee d u
పట్టించుకోవట్లేదో	p a tx tx i q c u k oo w a tx l ee d oo
పట్టించుకోవట్లేదంటే	p a tx tx i q c u k oo w a tx l ee d a q tx ee
పట్టించుకోవడం	p a tx tx i q c u k oo w a dx a q
పట్టించుకోవడంలేదని	p a tx tx i q c u k oo w a dx a q l ee d a n i
పట్టించుకోవడంలేదన్నారు	p a tx tx i q c u k oo w a dx a q l ee d a n n aa r u
పట్టించుకోవలసిన	p a tx tx i q c u k oo w a l a s i n a
పట్టించుకోవసరం	p a tx tx i q c u k oo w a s a r a q
పట్టించుకోవాలి	p a tx tx i q c u k oo w aa l i
పట్టించుకోవాల్సిన	p a tx tx i q c u k oo w aa l s i n a
పట్టించుకోవాల్సినంత	p a tx tx i q c u k oo w aa l s i n a q t a
పట్టించే	p a tx tx i q c ee
పట్టించేలా	p a tx tx i q c ee l aa
పట్టించేందుకు	p a tx tx i q c ee q d u k u
పట్టించేందుకే	p a tx tx i q c ee q d u k ee
పట్టిందని	p a tx tx i q d a n i
పట్టిందన్న	p a tx tx i q d a n n a
పట్టింది	p a tx tx i q d i
పట్టిందిగా	p a tx tx i q d i g aa
పట్టిందో	p a tx tx i q d oo
పట్టింపు	p a tx tx i q p u
పట్టు	p a tx tx u
పట్టుకుని	p a tx tx u k u n i
పట్టుకునే	p a tx tx u k u n ee
పట్టుకునేందుకు	p a tx tx u k u n ee q d u k u
పట్టుకున్న	p a tx tx u k u n n a
పట్టుకున్నట్టుగా	p a tx tx u k u n n a tx tx u g aa
పట్టుకున్నట్లుగా	p a tx tx u k u n n a tx l u g aa
పట్టుకున్నామనే	p a tx tx u k u n n aa m a n ee
పట్టుకున్నారు	p a tx tx u k u n n aa r u
పట్టుకుపోవచ్చు	p a tx tx u k u p oo w a c c u
పట్టుకుంటదండి	p a tx tx u k u q tx a d a q dx i
పట్టుకుంటామన్నారు	p a tx tx u k u q tx aa m a n n aa r u
పట్టుకుంటున్నారట	p a tx tx u k u q tx u n n aa r a tx a
పట్టుకుంటున్నారు	p a tx tx u k u q tx u n n aa r u
పట్టుకుంటే	p a tx tx u k u q tx ee
పట్టుకుంద	p a tx tx u k u q d a
పట్టుకెల్లలేరు	p a tx tx u k e l l a l ee r u
పట్టుకేల్తు	p a tx tx u k ee l t u
పట్టుకొని	p a tx tx u k o n i
పట్టుకొలిపోయే	p a tx tx u k o l i p oo y ee
పట్టుకొవాలన్నారు	p a tx tx u k o w aa l a n n aa r u
పట్టుకొస్తా	p a tx tx u k o s t aa
పట్టుకోకుంటే	p a tx tx u k oo k u q tx ee
పట్టుకోకుండా	p a tx tx u k oo k u q dx aa
పట్టుకోని	p a tx tx u k oo n i
పట్టుకోలెం	p a tx tx u k oo l e q
పట్టుకోలేం	p a tx tx u k oo l ee q
పట్టుకోవడానికి	p a tx tx u k oo w a dx aa n i k i
పట్టుకోవడం	p a tx tx u k oo w a dx a q
పట్టుకోవాలని	p a tx tx u k oo w aa l a n i
పట్టుదల	p a tx tx u d a l a
పట్టుదలగా	p a tx tx u d a l a g aa
పట్టుదలతో	p a tx tx u d a l a t oo
పట్టుదలా	p a tx tx u d a l aa
పట్టుని	p a tx tx u n i
పట్టునే	p a tx tx u n ee
పట్టుపడి	p a tx tx u p a dx i
పట్టుపడుతున్నట్లు	p a tx tx u p a dx u t u n n a tx l u
పట్టుబట్టారని	p a tx tx u b a tx tx aa r a n i
పట్టుబట్టారు	p a tx tx u b a tx tx aa r u
పట్టుబట్టి	p a tx tx u b a tx tx i
పట్టుబట్టిన	p a tx tx u b a tx tx i n a
పట్టుబట్టిందని	p a tx tx u b a tx tx i q d a n i
పట్టుబట్టింది	p a tx tx u b a tx tx i q d i
పట్టుబడటం	p a tx tx u b a dx a tx a q
పట్టుబడడంతో	p a tx tx u b a dx a dx a q t oo
పట్టుబడుతున్నట్లు	p a tx tx u b a dx u t u n n a tx l u
పట్టుబడుతున్నారు	p a tx tx u b a dx u t u n n aa r u
పట్టుబడుతుండటంతో	p a tx tx u b a dx u t u q dx a tx a q t oo
పట్టుబడ్డారు	p a tx tx u b a dx dx aa r u
పట్టువస్త్రాలతో	p a tx tx u w a s t r aa l a t oo
పట్టువస్త్రాలను	p a tx tx u w a s t r aa l a n u
పట్టువస్త్రాలు	p a tx tx u w a s t r aa l u
పట్టే	p a tx tx ee
పట్టేలా	p a tx tx ee l aa
పట్టేసుకుంటారు	p a tx tx ee s u k u q tx aa r u
పట్టేసుకొని	p a tx tx ee s u k o n i
పట్టేందుకు	p a tx tx ee q d u k u
పట్టొచ్చు	p a tx tx o c c u
పట్టం	p a tx tx a q
పట్టంరాజు	p a tx tx a q r aa j u
పట్ణాణాన్ని	p a tx nx aa nx aa n n i
పట్నం	p a tx n a q
పట్నంలో	p a tx n a q l oo
పట్నంలోని	p a tx n a q l oo n i
పట్ల	p a tx l a
పట్లా	p a tx l aa
పఠనం	p a txh a n a q
పఠాన్	p a txh aa n
పడ	p a dx a
పడక	p a dx a k a
పడకగదుల	p a dx a k a g a d u l a
పడకపోతే	p a dx a k a p oo t ee
పడకలపై	p a dx a k a l a p ai
పడకవేసనాని	p a dx a k a w ee s a n aa n i
పడకుడుదు	p a dx a k u dx u d u
పడకుండా	p a dx a k u q dx aa
పడకూడదని	p a dx a k uu dx a d a n i
పడకూడదనే	p a dx a k uu dx a d a n ee
పడకూడదన్నదనే	p a dx a k uu dx a d a n n a d a n ee
పడకూడదు	p a dx a k uu dx a d u
పడగలడు	p a dx a g a l a dx u
పడగలను	p a dx a g a l a n u
పడగా	p a dx a g aa
పడగానే	p a dx a g aa n ee
పడగెత్తి	p a dx a g e t t i
పడగొట్టగా	p a dx a g o tx tx a g aa
పడగొట్టాడు	p a dx a g o tx tx aa dx u
పడగొట్టి	p a dx a g o tx tx i
పడటం	p a dx a tx a q
పడటంతో	p a dx a tx a q t oo
పడట్లేదు	p a dx a tx l ee d u
పడడమే	p a dx a dx a m ee
పడడం	p a dx a dx a q
పడడంతో	p a dx a dx a q t oo
పడతరట	p a dx a t a r a tx a
పడతా	p a dx a t aa
పడతాది	p a dx a t aa d i
పడతాను	p a dx a t aa n u
పడతాయని	p a dx a t aa y a n i
పడతాయా	p a dx a t aa y aa
పడతాయి	p a dx a t aa y i
పడతారని	p a dx a t aa r a n i
పడతారు	p a dx a t aa r u
పడతారో	p a dx a t aa r oo
పడతాలేదు	p a dx a t aa l ee d u
పడతాం	p a dx a t aa q
పడతున్నాయి	p a dx a t u n n aa y i
పడదామన్న	p a dx a d aa m a n n a
పడదు	p a dx a d u
పడని	p a dx a n i
పడనివ్వలేదంటారు	p a dx a n i w w a l ee d a q tx aa r u
పడనున్నట్లు	p a dx a n u n n a tx l u
పడనున్నాయని	p a dx a n u n n aa y a n i
పడనుందని	p a dx a n u q d a n i
పడనుంది	p a dx a n u q d i
పడపోతే	p a dx a p oo t ee
పడబోనన్నారు	p a dx a b oo n a n n aa r u
పడబోమనే	p a dx a b oo m a n ee
పడబోయిన	p a dx a b oo y i n a
పడమర	p a dx a m a r a
పడలేదు	p a dx a l ee d u
పడలేను	p a dx a l ee n u
పడలేవు	p a dx a l ee w u
పడవ	p a dx a w a
పడవని	p a dx a w a n i
పడవను	p a dx a w a n u
పడవలపై	p a dx a w a l a p ai
పడవలపైనే	p a dx a w a l a p ai n ee
పడవలసి	p a dx a w a l a s i
పడవలు	p a dx a w a l u
పడవల్ని	p a dx a w a l n i
పడవు	p a dx a w u
పడవేసి	p a dx a w ee s i
పడవ్	p a dx a w
పడాలని	p a dx aa l a n i
పడాలి	p a dx aa l i
పడాలంటే	p a dx aa l a q tx ee
పడాల్సి	p a dx aa l s i
పడాల్సిన	p a dx aa l s i n a
పడి	p a dx i
పడిగాపులు	p a dx i g aa p u l u
పడితే	p a dx i t ee
పడితేనే	p a dx i t ee n ee
పడిద్ది	p a dx i d d i
పడిన	p a dx i n a
పడినట్టు	p a dx i n a tx tx u
పడినట్లయితే	p a dx i n a tx l a y i t ee
పడినట్లు	p a dx i n a tx l u
పడినట్లుగా	p a dx i n a tx l u g aa
పడినట్లే	p a dx i n a tx l ee
పడినప్పుడు	p a dx i n a p p u dx u
పడినా	p a dx i n aa
పడినాయి	p a dx i n aa y i
పడిపొద్ది	p a dx i p o d d i
పడిపోకుంటే	p a dx i p oo k u q tx ee
పడిపోగా	p a dx i p oo g aa
పడిపోడం	p a dx i p oo dx a q
పడిపోతాడు	p a dx i p oo t aa dx u
పడిపోతానుగా	p a dx i p oo t aa n u g aa
పడిపోతారు	p a dx i p oo t aa r u
పడిపోతావ్	p a dx i p oo t aa w
పడిపోతున్నాయి	p a dx i p oo t u n n aa y i
పడిపోతున్నారు	p a dx i p oo t u n n aa r u
పడిపోతున్నాం	p a dx i p oo t u n n aa q
పడిపోతుంటే	p a dx i p oo t u q tx ee
పడిపోతుందనమాట	p a dx i p oo t u q d a n a m aa tx a
పడిపోతుందని	p a dx i p oo t u q d a n i
పడిపోతుంది	p a dx i p oo t u q d i
పడిపోతే	p a dx i p oo t ee
పడిపోద్ది	p a dx i p oo d d i
పడిపోయా	p a dx i p oo y aa
పడిపోయాడు	p a dx i p oo y aa dx u
పడిపోయాయని	p a dx i p oo y aa y a n i
పడిపోయారు	p a dx i p oo y aa r u
పడిపోయి	p a dx i p oo y i
పడిపోయిద్ది	p a dx i p oo y i d d i
పడిపోయిన	p a dx i p oo y i n a
పడిపోయినట్టు	p a dx i p oo y i n a tx tx u
పడిపోయినప్పుడు	p a dx i p oo y i n a p p u dx u
పడిపోయినా	p a dx i p oo y i n aa
పడిపోయినోళ్ళు	p a dx i p oo y i n oo lx lx u
పడిపోయిందని	p a dx i p oo y i q d a n i
పడిపోయింది	p a dx i p oo y i q d i
పడిపోయిందంట	p a dx i p oo y i q d a q tx a
పడిపోయే	p a dx i p oo y ee
పడిపోవటాన్ని	p a dx i p oo w a tx aa n n i
పడిపోవడం	p a dx i p oo w a dx a q
పడిపోవాలనే	p a dx i p oo w aa l a n ee
పడిసలేరు	p a dx i s a l ee r u
పడించుకుని	p a dx i q c u k u n i
పడించుకున్నారని	p a dx i q c u k u n n aa r a n i
పడిందట	p a dx i q d a tx a
పడిందని	p a dx i q d a n i
పడిందన్నారు	p a dx i q d a n n aa r u
పడింది	p a dx i q d i
పడుకునే	p a dx u k u n ee
పడుకున్నాడు	p a dx u k u n n aa dx u
పడుకుంటా	p a dx u k u q tx aa
పడుకుంటున్నారని	p a dx u k u q tx u n n aa r a n i
పడుకుందంట	p a dx u k u q d a q tx a
పడుకొనేముందు	p a dx u k o n ee m u q d u
పడుకోబెట్టాడని	p a dx u k oo b e tx tx aa dx a n i
పడుకోబెట్టి	p a dx u k oo b e tx tx i
పడుకోరా	p a dx u k oo r aa
పడుకోవచ్చు	p a dx u k oo w a c c u
పడుకోవడం	p a dx u k oo w a dx a q
పడుచు	p a dx u c u
పడుతదన్నమాట	p a dx u t a d a n n a m aa tx a
పడుతది	p a dx u t a d i
పడుతాను	p a dx u t aa n u
పడుతామని	p a dx u t aa m a n i
పడుతాయి	p a dx u t aa y i
పడుతారని	p a dx u t aa r a n i
పడుతు	p a dx u t u
పడుతునా	p a dx u t u n aa
పడుతునారు	p a dx u t u n aa r u
పడుతున్న	p a dx u t u n n a
పడుతున్నటులు	p a dx u t u n n a tx u l u
పడుతున్నట్టుగా	p a dx u t u n n a tx tx u g aa
పడుతున్నట్లు	p a dx u t u n n a tx l u
